replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
ABCG5,P1P2,0.75138919,-0.002588717,10,P1P2,0.596275694,0.008015584,10,P1P2,0.872399717,-0.005916631,10
ABCG8,P1P2,0.271288126,-0.009534958,10,P1P2,0.672382546,-0.01475853,10,P1P2,0.475624328,-0.013797277,10
ABHD1,P1P2,0.763782977,0.006701306,10,P1P2,0.850171086,-0.00086894,10,P1P2,0.721168645,-0.000108291,10
ABHD10,P1P2,0.705828635,-0.018830734,10,P1P2,0.870391784,0.005326617,10,P1P2,0.79268054,-0.017606647,10
ABHD11,P1P2,0.283838349,-0.025052694,10,P1P2,0.287312551,-0.016448171,10,P1P2,0.131227674,-0.00947055,10
ABHD12,P1P2,0.967628448,0.009012987,10,P1P2,0.034159593,0.029717611,10,P1P2,0.255013394,0.013388768,10
ABHD12B,P1P2,0.764559639,0.005772257,10,P1P2,0.133990519,-0.017441799,10,P1P2,0.55683553,-0.002804699,10
ABHD13,P1P2,0.424795292,0.030674821,10,P1P2,0.959291814,-0.041457624,10,P1P2,0.606326449,-0.01083538,10
ABHD14A,P1P2,0.444725538,-0.05927699,10,P1P2,0.043637903,-0.129087855,10,P1P2,0.220559465,-0.073548977,10
ABHD14B,P1,0.218644427,-0.007537698,10,P1,0.093518054,-0.036749902,10,P1,0.032632254,-0.023062348,10
ABHD15,P1P2,0.654249873,0.002861503,10,P1P2,0.374498871,-0.043965219,10,P1P2,0.831075047,-0.02033446,10
ABHD16A,P1P2,0.649637231,0.014473982,10,P1P2,0.073645866,0.016282429,10,P1P2,0.189185628,0.023459547,10
ABHD16B,P1P2,0.504169066,-0.045236066,10,P1P2,0.288632073,-0.105577913,10,P1P2,0.630131299,-0.073940377,10
ABHD17A,P1P2,0.193714185,-0.025469409,10,P1P2,0.496239456,0.005303619,10,P1P2,0.216093735,-0.01922375,10
ABHD17B,P1P2,0.394888525,-0.030735759,10,P1P2,0.674612163,-0.010808399,10,P1P2,0.3723015,-0.019381733,10
ABHD17C,P1P2,0.964265808,0.006709154,10,P1P2,0.291749007,0.055470581,10,P1P2,0.439487348,0.023809344,10
ABHD2,P1P2,0.901600685,0.058105507,10,P1P2,0.423569218,-0.022354254,10,P1P2,0.709211867,0.02789753,10
ABHD3,P1P2,0.643056119,-0.050342007,10,P1P2,0.161483231,-0.022693018,10,P1P2,0.678037556,-0.03432624,10
ABHD4,P1P2,0.145663949,-0.029523888,10,P1P2,0.270972036,-0.049862685,10,P1P2,0.132197535,-0.035655642,10
ABHD5,P1P2,0.278707314,-0.006295613,10,P1P2,0.240347632,-0.010583468,10,P1P2,0.197764546,-0.019784034,10
ABHD6,P1P2,0.485234209,0.005604451,10,P1P2,0.661910534,-0.017349773,10,P1P2,0.917541695,-0.006895793,10
ABHD8,P1P2,0.70799139,-0.001605414,10,P1P2,0.204413471,0.006103498,10,P1P2,0.776563918,0.0099249,10
ABI1,P1P2,0.13586077,0.024454552,10,P1P2,0.159231089,-0.006110877,10,P1P2,0.776117569,0.003860877,10
ABI2,P1P2,0.000978396,-0.051911438,10,P1P2,0.846753215,-0.024614713,10,P1P2,0.15717704,-0.051610088,10
ABI3,P1P2,0.575767309,0.000968971,10,P1P2,0.779305897,-0.005264862,10,P1P2,0.570999552,-0.001260191,10
ABI3BP,P1P2,0.763672044,0.014377515,10,P1P2,0.893456736,0.005539002,10,P1P2,0.992448261,0.013039809,10
ABL1,ENST00000372348.2,0.429452211,0.013029181,10,ENST00000372348.2,0.901166115,0.010787689,10,ENST00000372348.2,0.343975903,-0.003379538,10
ABL2,P1,0.173129474,0.012413316,10,P1,0.110883247,-0.014492222,10,P1,0.120710733,-0.000707082,10
ABLIM1,ENST00000277895.5,0.40163069,-0.006222049,10,ENST00000277895.5,0.982713166,0.004743355,10,ENST00000277895.5,0.534573787,-0.007312177,10
ABLIM2,P1P2,0.900564192,0.011826245,10,P1P2,0.64168591,-0.004667235,10,P1P2,0.977115219,-0.005044582,10
ABLIM3,P1P2,0.872992421,-0.012508322,10,P1P2,0.046663584,-0.034456861,10,P1P2,0.567442512,-0.032629604,10
ABO,P1,0.073148895,0.033996559,10,P1,0.815564849,0.01054707,10,P1,0.207883551,0.024532865,10
ABR,P1P2,0.400407138,0.024564527,10,P1P2,0.305951292,0.000240271,10,P1P2,0.289845507,0.023346092,10
ABRA,P1P2,0.1035006,0.028761748,10,P1P2,0.332506967,-0.012460475,10,P1P2,0.388591595,0.008911245,10
ABRACL,P1P2,0.097419011,-0.017567953,10,P1P2,0.166727567,-0.023203684,10,P1P2,0.054101552,-0.020385818,10
ABT1,P1P2,0.337116016,-0.024372276,10,P1P2,0.073903939,-0.053637058,10,P1P2,0.266619463,-0.051541878,10
ABTB1,P1P2,0.984797202,-0.00683578,10,P1P2,0.02639076,-0.038791402,10,P1P2,0.298964178,-0.022813591,10
ABTB2,P1P2,0.547333299,-0.006852441,10,P1P2,0.078701732,-0.029529777,10,P1P2,0.21158697,-0.025447475,10
ACAA1,P1P2,0.902362513,0.013194308,9,P1P2,0.315156177,0.001965908,9,P1P2,0.711527508,0.002932141,9
ACAA2,P1P2,0.921785917,-0.014511604,10,P1P2,0.891387243,-0.006536974,10,P1P2,0.94207599,-0.007636229,10
ACACA,P1P2,0.259062051,-0.007659609,10,P1P2,0.007205166,-0.048972698,10,P1P2,0.012115383,-0.01582163,10
ACACB,P2,0.404740381,-0.002875597,10,P1,0.258146322,-0.022727949,10,P1,0.654326525,-0.006378501,10
ACAD10,P1P2,0.670921502,0.007536337,10,P1P2,0.378501084,0.006697269,10,P1P2,0.333390644,0.00328658,10
ACAD11,P1P2,0.052435531,-0.006792129,10,P1P2,0.874859089,0.045002987,10,P1P2,0.572782044,0.004196886,10
ACAD8,P1P2,0.000265843,0.068083297,10,P1P2,0.469127704,0.019142939,10,P1P2,0.000835379,0.036488096,10
ACAD9,P1P2,1.21E-05,-0.077281111,10,P1P2,0.000128717,-0.097025662,10,P1P2,4.53E-06,-0.087153387,10
ACADL,P1P2,0.349111049,0.017100952,10,P1P2,0.213689715,-0.02009302,10,P1P2,0.861630712,0.001224136,10
ACADM,P1P2,0.575767309,-0.008234359,10,P1P2,0.546858899,0.013387032,10,P1P2,0.551957824,0.015137311,10
ACADS,P1P2,0.959281011,0.00472362,10,P1P2,0.399880649,0.003672941,10,P1P2,0.319182978,-0.005156318,10
ACADSB,P1P2,0.327253224,-0.019701859,10,P1P2,0.154419053,-0.020435033,10,P1P2,0.234926046,-0.037295656,10
ACADVL,P1P2,0.346049946,0.00290439,10,P1P2,0.31245459,0.012910705,10,P1P2,0.227101314,0.003470862,10
ACAN,P1P2,0.045072338,0.003370021,10,P1P2,0.187280975,0.011450465,10,P1P2,0.016651492,0.00115379,10
ACAP1,P1P2,0.988046379,-0.010079662,10,P1P2,0.810713106,-0.001205786,10,P1P2,0.911303987,-0.002310314,10
ACAP2,P1P2,0.640036065,0.013216135,10,P1P2,0.525112856,0.011490318,10,P1P2,0.502694326,0.01099461,10
ACAP3,P1P2,0.149541333,0.036984103,9,P1P2,0.357497916,-0.011649081,9,P1P2,0.496765129,0.01454701,9
ACAT1,P1P2,0.562346062,0.007148998,10,P1P2,0.986773402,0.029521178,10,P1P2,0.513708497,0.012714113,10
ACAT2,P1P2,0.689041817,0.025903466,10,P1P2,0.059380457,-0.034370793,10,P1P2,0.770989903,-0.012277339,10
ACBD3,P1P2,0.536732684,0.012755686,10,P1P2,0.000455525,-0.029992963,10,P1P2,0.016181407,-0.002840528,10
ACBD4,P2,0.071532403,0.016344353,10,P2,0.48580503,0.003302517,10,P2,0.351602174,0.007966763,10
ACBD5,P1P2,0.124921588,-0.030723389,10,P1P2,0.42957473,-0.003966193,10,P1P2,0.397140419,-0.007312622,10
ACBD6,P1P2,0.148892717,-0.02580596,9,P1P2,0.169273319,-0.004644725,9,P1P2,0.080887227,-0.020012705,9
ACBD7,P1P2,0.387336032,0.013775057,10,P1P2,0.010038229,0.041211734,10,P1P2,0.300185255,0.034544301,10
